INDEX:1000:<ulong>,origin_z:1000:<float>,intersect_x:1000:<float>,intersect_y:1000:<float>,idx_x:1000:<float>,idx_y:1000:<float>,value:1000:<float>,time:1000:<float>,gt_intersect_x:1000:<float>,gt_intersect_y:1000:<float>
85,-41.5,80,-45,16,0,-0.755710601807,16,86.8063430786,-48.2278709412
86,-41.4000015259,80,-45,16,0,-0.755710601807,16,86.6549072266,-48.1861877441
87,-41.2999992371,80,-45,16,0,-0.755710601807,16,86.503578186,-48.1440200806
88,-41.2000007629,80,-45,16,0,-0.755710601807,16,86.3524017334,-48.1013832092
89,-41.0999984741,80,-45,16,0,-0.755710601807,16,86.2013626099,-48.0582733154
90,-41,80,-45,16,0,-0.755710601807,16,86.0504379272,-48.0146827698
91,-40.9000015259,80,-45,16,0,-0.755710601807,16,85.8996734619,-47.9706268311
92,-40.7999992371,80,-45,16,0,-0.755710601807,16,85.7490463257,-47.9260940552
93,-40.7000007629,80,-45,16,0,-0.755710601807,16,85.5985412598,-47.8810806274
94,-40.5999984741,80,-45,16,0,-0.755710601807,16,85.4481964111,-47.8356056213
95,-40.5,80,-45,16,0,-0.755710601807,16,85.2979812622,-47.7896499634
96,-40.4000015259,80,-45,16,0,-0.755710601807,16,85.1479263306,-47.7432289124
97,-40.2999992371,80,-45,16,0,-0.755710601807,16,84.9980163574,-47.6963386536
98,-40.2000007629,80,-45,16,0,-0.755710601807,16,84.848236084,-47.6489677429
99,-40.0999984741,80,-45,16,0,-0.755710601807,16,84.6986236572,-47.6011352539
100,-40,75,-40,15,0,-2.83009529114,15,84.5491485596,-47.5528259277
101,-39.9000015259,75,-40,15,0,-2.83009529114,15,84.3998413086,-47.5040512085
102,-39.7999992371,75,-40,15,0,-2.83009529114,15,84.2506866455,-47.4548110962
103,-39.7000007629,75,-40,15,0,-2.83009529114,15,84.1016693115,-47.4050941467
104,-39.5999984741,75,-40,15,0,-2.83009529114,15,83.9528274536,-47.3549194336
105,-39.5,75,-40,15,0,-2.83009529114,15,83.8041229248,-47.3042678833
106,-39.4000015259,75,-40,15,0,-2.83009529114,15,83.6556015015,-47.2531547546
107,-39.2999992371,75,-40,15,0,-2.83009529114,15,83.5072402954,-47.2015762329
108,-39.2000007629,75,-40,15,0,-2.83009529114,15,83.3590240479,-47.1495285034
109,-39.0999984741,75,-40,15,0,-2.83009529114,15,83.2109909058,-47.0970191956
110,-39,75,-40,15,0,-2.83009529114,15,83.0630950928,-47.0440368652
111,-38.9000015259,75,-40,15,0,-2.83009529114,15,82.915397644,-46.9905967712
112,-38.7999992371,75,-40,15,0,-2.83009529114,15,82.767868042,-46.9366950989
113,-38.7000007629,75,-40,15,0,-2.83009529114,15,82.6204833984,-46.8823242188
114,-38.5999984741,75,-40,15,0,-2.83009529114,15,82.4732894897,-46.8274993896
115,-38.5,75,-40,15,0,-2.83009529114,15,82.3262481689,-46.7722015381
116,-38.4000015259,75,-40,15,0,-2.83009529114,15,82.1794128418,-46.7164497375
117,-38.2999992371,75,-40,15,0,-2.83009529114,15,82.0327453613,-46.6602363586
118,-38.2000007629,75,-40,15,0,-2.83009529114,15,81.8862304688,-46.603553772
119,-38.0999984741,75,-40,15,0,-2.83009529114,15,81.7399215698,-46.5464248657
120,-38,75,-40,15,0,-2.83009529114,15,81.5937652588,-46.488822937
121,-37.9000015259,75,-40,15,0,-2.83009529114,15,81.4478149414,-46.430770874
122,-37.7999992371,75,-40,15,0,-2.83009529114,15,81.3020477295,-46.3722610474
123,-37.7000007629,75,-40,15,0,-2.83009529114,15,81.1564483643,-46.3132858276
124,-37.5999984741,75,-40,15,0,-2.83009529114,15,81.0110473633,-46.2538642883
125,-37.5,75,-40,15,0,-2.83009529114,15,80.8658218384,-46.1939735413
126,-37.4000015259,75,-40,15,0,-2.83009529114,15,80.7208023071,-46.1336364746
127,-37.2999992371,75,-40,15,0,-2.83009529114,15,80.5759735107,-46.072845459
128,-37.2000007629,75,-40,15,0,-2.83009529114,15,80.431312561,-46.0115890503
129,-37.0999984741,75,-40,15,0,-2.83009529114,15,80.2868728638,-45.9498901367
130,-37,75,-40,15,0,-2.83009529114,15,80.1426010132,-45.8877296448
131,-36.9000015259,75,-40,15,0,-2.83009529114,15,79.9985427856,-45.8251190186
132,-36.7999992371,75,-40,15,0,-2.83009529114,15,79.8546905518,-45.7620620728
133,-36.7000007629,75,-40,15,0,-2.83009529114,15,79.7110061646,-45.6985435486
134,-36.5999984741,75,-40,15,0,-2.83009529114,15,79.5675506592,-45.6345825195
135,-36.5,75,-40,15,0,-2.83009529114,15,79.4242782593,-45.5701637268
136,-36.4000015259,75,-40,15,0,-2.83009529114,15,79.2812194824,-45.5052986145
137,-36.2999992371,75,-40,15,0,-2.83009529114,15,79.1383743286,-45.4399871826
138,-36.2000007629,75,-40,15,0,-2.83009529114,15,78.9957122803,-45.3742218018
