kernel;n_rays;time;Rps;Rps/Eur;Rps/W;n_blocks;n_threads
NanoVDB_CPU;571536;0.0288923;1.97816e+07;6012.64;131877;1;1
NanoVDB_GPU;571536;0.00669335;8.53887e+07;34155.5;1.21984e+06;256;256
OpenVDB;640000;0.0287814;2.22365e+07;6758.83;148244;1;1
NanoVDB_CPU;640000;0.0191662;3.33922e+07;10149.6;222614;1;1
NanoVDB_GPU;640000;0.00749414;8.54001e+07;34160;1.22e+06;256;256
OpenVDB;717409;0.0347724;2.06316e+07;6270.99;137544;1;1
NanoVDB_CPU;717409;0.0317903;2.25669e+07;6859.24;150446;1;1
NanoVDB_GPU;717409;0.00846643;8.47357e+07;33894.3;1.21051e+06;256;256
OpenVDB;802816;0.0496562;1.61675e+07;4914.13;107783;1;1
NanoVDB_CPU;802816;0.0240839;3.33341e+07;10131.9;222227;1;1
NanoVDB_GPU;802816;0.00940747;8.53381e+07;34135.2;1.21912e+06;256;256
OpenVDB;900601;0.040214;2.23952e+07;6807.05;149301;1;1
NanoVDB_CPU;900601;0.0394839;2.28093e+07;6932.93;152062;1;1
NanoVDB_GPU;900601;0.0104766;8.59634e+07;34385.4;1.22805e+06;256;256
OpenVDB;1008016;0.0598521;1.68418e+07;5119.08;112278;1;1
NanoVDB_CPU;1008016;0.0480827;2.09642e+07;6372.1;139761;1;1
NanoVDB_GPU;1008016;0.0116997;8.61575e+07;34463;1.23082e+06;256;256
OpenVDB;1129969;0.0505746;2.23426e+07;6791.07;148951;1;1
NanoVDB_CPU;1129969;0.033741;3.34895e+07;10179.2;223264;1;1
NanoVDB_GPU;1129969;0.0131145;8.61619e+07;34464.8;1.23088e+06;256;256
OpenVDB;1265625;0.0605525;2.09013e+07;6352.97;139342;1;1
NanoVDB_CPU;1265625;0.0378577;3.34311e+07;10161.4;222874;1;1
NanoVDB_GPU;1265625;0.0146438;8.64273e+07;34570.9;1.23468e+06;256;256
OpenVDB;1418481;0.0859007;1.6513e+07;5019.16;110087;1;1
NanoVDB_CPU;1418481;0.0571291;2.48294e+07;7546.93;165529;1;1
NanoVDB_GPU;1418481;0.0164556;8.62003e+07;34480.1;1.23143e+06;256;256
OpenVDB;1590121;0.0710509;2.238e+07;6802.44;149200;1;1
NanoVDB_CPU;1590121;0.0474335;3.35232e+07;10189.4;223488;1;1
NanoVDB_GPU;1590121;0.0183938;8.64487e+07;34579.5;1.23498e+06;256;256
OpenVDB;1782225;0.0809497;2.20164e+07;6691.93;146776;1;1
NanoVDB_CPU;1782225;0.0628166;2.83719e+07;8623.67;189146;1;1
NanoVDB_GPU;1782225;0.0208482;8.54859e+07;34194.4;1.22123e+06;256;256
OpenVDB;1996569;0.0884874;2.25633e+07;6858.15;150422;1;1
NanoVDB_CPU;1996569;0.0595682;3.35174e+07;10187.6;223449;1;1
NanoVDB_GPU;1996569;0.0229846;8.68656e+07;34746.2;1.24094e+06;256;256
OpenVDB;2235025;0.100099;2.23282e+07;6786.68;148855;1;1
NanoVDB_CPU;2235025;0.0667085;3.35044e+07;10183.7;223362;1;1
NanoVDB_GPU;2235025;0.0257554;8.67788e+07;34711.5;1.2397e+06;256;256
OpenVDB;2505889;0.162593;1.5412e+07;4684.5;102747;1;1
NanoVDB_CPU;2505889;0.0757107;3.30982e+07;10060.2;220655;1;1
NanoVDB_GPU;2505889;0.0288944;8.67257e+07;34690.3;1.23894e+06;256;256
