kernel;n_rays;time;Rps;Rps/Eur;Rps/W;n_blocks;n_threads
OpenVDB;2505889;0.142433;1.75935e+07;5347.57;117290;1;1
NanoVDB_CPU;2505889;0.0862256;2.9062e+07;8833.44;193747;1;1
NanoVDB_GPU;2505889;0.0232943;1.07575e+08;43030.1;1.53679e+06;256;256
OpenVDB;2808976;0.204671;1.37243e+07;4171.53;91495.5;1;1
NanoVDB_CPU;2808976;0.107222;2.61978e+07;7962.85;174652;1;1
NanoVDB_GPU;2808976;0.0263269;1.06696e+08;42678.4;1.52423e+06;256;256
OpenVDB;3147076;0.173757;1.81119e+07;5505.15;120746;1;1
NanoVDB_CPU;3147076;0.123113;2.55625e+07;7769.75;170417;1;1
NanoVDB_GPU;3147076;0.029056;1.08311e+08;43324.2;1.54729e+06;256;256
OpenVDB;3526884;0.261042;1.35108e+07;4106.63;90072;1;1
NanoVDB_CPU;3526884;0.181996;1.93789e+07;5890.24;129193;1;1
NanoVDB_GPU;3526884;0.0325486;1.08357e+08;43343;1.54796e+06;256;256
OpenVDB;3948169;0.312284;1.26429e+07;3842.82;84285.9;1;1
NanoVDB_CPU;3948169;0.197932;1.99471e+07;6062.94;132980;1;1
NanoVDB_GPU;3948169;0.0364762;1.0824e+08;43295.8;1.54628e+06;256;256
OpenVDB;4426816;0.343739;1.28784e+07;3914.41;85856;1;1
NanoVDB_CPU;4426816;0.171474;2.58163e+07;7846.9;172109;1;1
NanoVDB_GPU;4426816;0.0410498;1.0784e+08;43136;1.54057e+06;256;256
OpenVDB;4959529;0.270025;1.83669e+07;5582.65;122446;1;1
NanoVDB_CPU;4959529;0.169516;2.9257e+07;8892.71;195047;1;1
NanoVDB_GPU;4959529;0.045765;1.0837e+08;43347.8;1.54814e+06;256;256
OpenVDB;5555449;0.304839;1.82242e+07;5539.28;121495;1;1
NanoVDB_CPU;5555449;0.190413;2.91757e+07;8868.01;194505;1;1
NanoVDB_GPU;5555449;0.0511591;1.08592e+08;43436.7;1.55131e+06;256;256
OpenVDB;6225025;0.336248;1.85132e+07;5627.11;123421;1;1
NanoVDB_CPU;6225025;0.213189;2.91995e+07;8875.23;194663;1;1
NanoVDB_GPU;6225025;0.0572646;1.08706e+08;43482.5;1.55295e+06;256;256
OpenVDB;6974881;0.379172;1.8395e+07;5591.19;122633;1;1
NanoVDB_CPU;6974881;0.238524;2.92418e+07;8888.08;194945;1;1
NanoVDB_GPU;6974881;0.0640367;1.0892e+08;43568;1.556e+06;256;256
OpenVDB;7817616;0.623221;1.25439e+07;3812.74;83626;1;1
NanoVDB_CPU;7817616;0.360981;2.16566e+07;6582.54;144377;1;1
NanoVDB_GPU;7817616;0.0714459;1.0942e+08;43768;1.56314e+06;256;256
OpenVDB;8755681;0.677616;1.29213e+07;3927.45;86142;1;1
NanoVDB_CPU;8755681;0.440483;1.98775e+07;6041.78;132516;1;1
