x;y;z
-0.1;0.2;7;38.0422
-0.1;0.2;7;38.0422
-0.1;0.2;7;38.0422
-0.1;0.2;7;38.0422
-0.1;0.2;7;38.0422
-0.1;0.2;7;38.0422
-0.1;0.2;7;38.0422
-0.1;0.2;7;38.0422
-0.1;0.2;7;38.0422
-0.1;0.2;7;38.0422
-0.1;0.2;7;38.0422
-0.1;0.2;7;38.0422
-0.2;0.2;7;38.0422
-0.2;0.2;7;38.0422
-0.2;0.2;7;38.0422
-0.2;0.2;7;38.0422
-0.2;0.2;7;38.0422
-0.2;0.1;7;38.0422
-0.2;0.1;7;38.0422
-0.2;0.1;7;38.0422
-0.2;0.1;7;38.0422
-0.2;0.1;7;38.0422
-0.2;0.1;7;38.0422
-0.2;0.1;7;38.0422
-0.2;0.1;7;38.0422
-0.2;0.1;7;38.0422
-0.2;0.1;7;38.0422
-0.2;0.1;7;38.0422
-0.3;0.1;7;38.0422
-0.3;0.1;7;38.0422
-0.3;0.1;7;38.0422
-0.3;0.1;7;38.0422
-0.3;0.1;7;38.0422
-0.3;0;7;38.0422
-0.3;0;7;38.0422
-0.3;0;7;38.0422
-0.3;0;7;38.0422
-0.3;0;7;38.0422
-0.3;0;7;38.0422
-0.3;0;7;38.0422
-0.3;0;7;38.0422
-0.3;0;7;38.0422
-0.3;0;7;38.0422
-0.3;0;7;38.0422
-0.3;0;7;38.0422
-0.3;-0.1;7;38.0422
-0.3;-0.1;7;38.0422
-0.3;-0.1;7;38.0422
-0.3;-0.1;7;38.0422
-0.3;-0.1;7;38.0422
-0.3;-0.1;7;38.0422
-0.3;-0.1;7;38.0422
-0.3;-0.1;7;38.0422
-0.3;-0.1;7;38.0422
-0.3;-0.1;7;38.0422
-0.3;-0.1;7;38.0422
-0.3;-0.1;7;38.0422
-0.3;-0.2;7;38.0422
-0.3;-0.2;7;38.0422
-0.3;-0.2;7;38.0422
-0.3;-0.2;7;38.0422
-0.3;-0.2;7;38.0422
-0.2;-0.2;7;38.0422
-0.2;-0.2;7;38.0422
-0.2;-0.2;7;38.0422
-0.2;-0.2;7;38.0422
-0.2;-0.2;7;38.0422
-0.2;-0.2;7;38.0422
-0.2;-0.2;7;38.0422
-0.2;-0.2;7;38.0422
-0.2;-0.2;7;38.0422
-0.2;-0.2;7;38.0422
-0.2;-0.2;7;38.0422
-0.2;-0.3;7;38.0422
-0.2;-0.3;7;38.0422
-0.2;-0.3;7;38.0422
-0.2;-0.3;7;38.0422
-0.2;-0.3;7;38.0422
-0.1;-0.3;7;38.0422
-0.1;-0.3;7;38.0422
-0.1;-0.3;7;38.0422
-0.1;-0.3;7;38.0422
-0.1;-0.3;7;38.0422
-0.1;-0.3;7;38.0422
-0.1;-0.3;7;38.0422
-0.1;-0.3;7;38.0422
-0.1;-0.3;7;38.0422
-0.1;-0.3;7;38.0422
-0.1;-0.3;7;38.0422
-0.1;-0.3;7;38.0422
0;-0.3;7;38.0422
0;-0.3;7;38.0422
0;-0.3;7;38.0422
0;-0.3;7;38.0422
0;-0.3;7;38.0422
0;-0.3;7;38.0422
0;-0.3;7;38.0422
0;-0.3;7;38.0422
0;-0.3;7;38.0422
0;-0.3;7;38.0422
0;-0.3;7;38.0422
0;-0.3;7;38.0422
0.1;-0.3;7;38.0422
0.1;-0.3;7;38.0422
0.1;-0.3;7;38.0422
0.1;-0.3;7;38.0422
0.1;-0.3;7;38.0422
0.1;-0.3;7;38.0422
0.1;-0.2;7;38.0422
0.1;-0.2;7;38.0422
0.1;-0.2;7;38.0422
0.1;-0.2;7;38.0422
0.1;-0.2;7;38.0422
0.1;-0.2;7;38.0422
0.1;-0.2;7;38.0422
0.1;-0.2;7;38.0422
0.1;-0.2;7;38.0422
