kernel;n_rays;time;Rps;Rps/Eur;Rps/W;n_blocks;n_threads
OpenVDB;288369;0.0362902;7.9462e+06;2415.26;52974.7;1;1
NanoVDB_CPU;288369;0.0228696;1.26093e+07;3832.6;84061.7;1;1
NanoVDB_GPU;288369;0.00566787;5.08778e+07;20351.1;726826;256;256
OpenVDB;323761;0.0319054;1.01475e+07;3084.35;67650.2;1;1
NanoVDB_CPU;323761;0.0242896;1.33292e+07;4051.42;88861.2;1;1
NanoVDB_GPU;323761;0.0064106;5.0504e+07;20201.6;721486;256;256
OpenVDB;362404;0.0359374;1.00843e+07;3065.14;67228.8;1;1
NanoVDB_CPU;362404;0.0228953;1.58287e+07;4811.16;105525;1;1
NanoVDB_GPU;362404;0.00750419;4.82936e+07;19317.4;689908;256;256
OpenVDB;405769;0.0390752;1.03843e+07;3156.32;69228.7;1;1
NanoVDB_CPU;405769;0.0247259;1.64107e+07;4988.04;109404;1;1
NanoVDB_GPU;405769;0.0080981;5.01067e+07;20042.7;715810;256;256
OpenVDB;454276;0.0411459;1.10406e+07;3355.81;73604.1;1;1
NanoVDB_CPU;454276;0.0286316;1.58662e+07;4822.56;105775;1;1
NanoVDB_GPU;454276;0.00868821;5.22865e+07;20914.6;746950;256;256
OpenVDB;509796;0.0471116;1.0821e+07;3289.07;72140.2;1;1
NanoVDB_CPU;509796;0.0226126;2.25448e+07;6852.52;150299;1;1
NanoVDB_GPU;509796;0.00988334;5.15813e+07;20632.5;736876;256;256
OpenVDB;571536;0.0339404;1.68394e+07;5118.36;112263;1;1
NanoVDB_CPU;571536;0.0218801;2.61213e+07;7939.6;174142;1;1
NanoVDB_GPU;571536;0.0111589;5.1218e+07;20487.2;731686;256;256
OpenVDB;640000;0.0374132;1.71063e+07;5199.47;114042;1;1
NanoVDB_CPU;640000;0.0245253;2.60955e+07;7931.77;173970;1;1
NanoVDB_GPU;640000;0.0124814;5.12763e+07;20510.5;732519;256;256
OpenVDB;717409;0.0424168;1.69133e+07;5140.82;112755;1;1
NanoVDB_CPU;717409;0.0273592;2.62219e+07;7970.18;174813;1;1
NanoVDB_GPU;717409;0.0141079;5.08517e+07;20340.7;726453;256;256
OpenVDB;802816;0.0475565;1.68813e+07;5131.09;112542;1;1
NanoVDB_CPU;802816;0.0306911;2.6158e+07;7950.75;174387;1;1
NanoVDB_GPU;802816;0.0157297;5.10382e+07;20415.3;729117;256;256
OpenVDB;900601;0.0528081;1.70542e+07;5183.65;113695;1;1
NanoVDB_CPU;900601;0.034455;2.61385e+07;7944.83;174257;1;1
NanoVDB_GPU;900601;0.0175792;5.1231e+07;20492.4;731871;256;256
OpenVDB;1008016;0.0590143;1.70809e+07;5191.76;113873;1;1
NanoVDB_CPU;1008016;0.038653;2.60786e+07;7926.62;173857;1;1
NanoVDB_GPU;1008016;0.0195724;5.1502e+07;20600.8;735742;256;256
OpenVDB;1129969;0.0664788;1.69974e+07;5166.39;113316;1;1
NanoVDB_CPU;1129969;0.0443371;2.54859e+07;7746.46;169906;1;1
NanoVDB_GPU;1129969;0.0219854;5.13964e+07;20558.6;734234;256;256
OpenVDB;1265625;0.0758454;1.66869e+07;5072.01;111246;1;1
NanoVDB_CPU;1265625;0.0515223;2.45646e+07;7466.44;163764;1;1
NanoVDB_GPU;1265625;0.0245591;5.15339e+07;20613.6;736199;256;256
OpenVDB;1418481;0.0830043;1.70892e+07;5194.3;113928;1;1
NanoVDB_CPU;1418481;0.0540298;2.62537e+07;7979.85;175025;1;1
NanoVDB_GPU;1418481;0.027678;5.12493e+07;20499.7;732133;256;256
OpenVDB;1590121;0.0931504;1.70705e+07;5188.59;113803;1;1
NanoVDB_CPU;1590121;0.061048;2.60471e+07;7917.04;173647;1;1
NanoVDB_GPU;1590121;0.0309096;5.14443e+07;20577.7;734919;256;256
OpenVDB;1782225;0.104591;1.704e+07;5179.32;113600;1;1
NanoVDB_CPU;1782225;0.0683316;2.6082e+07;7927.66;173880;1;1
NanoVDB_GPU;1782225;0.0347554;5.1279e+07;20511.6;732558;256;256
OpenVDB;1996569;0.117087;1.7052e+07;5182.98;113680;1;1
NanoVDB_CPU;1996569;0.076612;2.60608e+07;7921.22;173739;1;1
NanoVDB_GPU;1996569;0.0386095;5.17119e+07;20684.8;738741;256;256
OpenVDB;2235025;0.132062;1.69241e+07;5144.1;112827;1;1
NanoVDB_CPU;2235025;0.0865224;2.58317e+07;7851.59;172212;1;1
NanoVDB_GPU;2235025;0.0438103;5.10159e+07;20406.4;728799;256;256
OpenVDB;2505889;0.161717;1.54955e+07;4709.89;103304;1;1
NanoVDB_CPU;2505889;0.0951564;2.63344e+07;8004.39;175563;1;1
NanoVDB_GPU;2505889;0.0486368;5.15225e+07;20609;736035;256;256
OpenVDB;2808976;0.16352;1.71782e+07;5221.34;114521;1;1
NanoVDB_CPU;2808976;0.107228;2.61962e+07;7962.36;174641;1;1
NanoVDB_GPU;2808976;0.0544003;5.16353e+07;20654.1;737648;256;256
OpenVDB;3147076;0.183927;1.71104e+07;5200.74;114070;1;1
NanoVDB_CPU;3147076;0.1202;2.61819e+07;7958.04;174546;1;1
NanoVDB_GPU;3147076;0.0611424;5.14713e+07;20588.5;735304;256;256
OpenVDB;3526884;0.301861;1.16838e+07;3551.3;77891.9;1;1
NanoVDB_CPU;3526884;0.185929;1.89689e+07;5765.63;126460;1;1
NanoVDB_GPU;3526884;0.0682785;5.16544e+07;20661.8;737920;256;256
OpenVDB;3948169;0.231672;1.70421e+07;5179.96;113614;1;1
NanoVDB_CPU;3948169;0.150185;2.62887e+07;7990.48;175258;1;1
NanoVDB_GPU;3948169;0.0765059;5.16061e+07;20642.4;737229;256;256
OpenVDB;4426816;0.269014;1.64557e+07;5001.74;109705;1;1
NanoVDB_CPU;4426816;0.197139;2.24553e+07;6825.3;149702;1;1
NanoVDB_GPU;4426816;0.0859141;5.15261e+07;20610.4;736087;256;256
OpenVDB;4959529;0.43477;1.14072e+07;3467.24;76048.2;1;1
NanoVDB_CPU;4959529;0.292452;1.69584e+07;5154.54;113056;1;1
NanoVDB_GPU;4959529;0.095561;5.18991e+07;20759.6;741415;256;256
